PointDTO{lat=44.14444, lon=135.647187, autoId='null'}
PointDTO{lat=44.14508, lon=135.647856, autoId='null'}
PointDTO{lat=44.146294, lon=135.647437, autoId='null'}
PointDTO{lat=44.147264, lon=135.64679, autoId='null'}
PointDTO{lat=44.147484, lon=135.646478, autoId='null'}
PointDTO{lat=44.149511, lon=135.646277, autoId='null'}
PointDTO{lat=44.149967, lon=135.645553, autoId='null'}
PointDTO{lat=44.15058, lon=135.64529, autoId='null'}
PointDTO{lat=44.151579, lon=135.644663, autoId='null'}
PointDTO{lat=44.152179, lon=135.643398, autoId='null'}
PointDTO{lat=44.152623, lon=135.64306, autoId='null'}
PointDTO{lat=44.153543, lon=135.642667, autoId='null'}
PointDTO{lat=44.154154, lon=135.641772, autoId='null'}
PointDTO{lat=44.156773, lon=135.641556, autoId='null'}
PointDTO{lat=44.157932, lon=135.641671, autoId='null'}
PointDTO{lat=44.158306, lon=135.641427, autoId='null'}
PointDTO{lat=44.158468, lon=135.641183, autoId='null'}
PointDTO{lat=44.15994, lon=135.638275, autoId='null'}
